Number,ALICE+CMS Error,ATLAS Error,q,T,xx,yy,zz
168,28.94723131468669,20.16448318491762,1.1537706006604027,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065081061686027
169,28.947231648720273,20.16448186272443,1.153770615561564,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065081061686027
170,28.947231107376986,20.164484037578994,1.1537706006604027,0.9643028610463401,6.302198004223635,1.3559375757016079,0.29065081061686027
171,28.947231344994528,20.16448299615144,1.1537706006604027,0.9643028461451789,6.302198019124797,1.3559375757016079,0.29065081061686027
172,28.94723120129965,20.164483913873532,1.1537706006604027,0.9643028461451789,6.302198004223635,1.355937590602769,0.29065081061686027
173,28.947230983150362,20.164485460849384,1.1537706006604027,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065082551802146
174,29.42601259031173,14.303919424738213,1.0753993932013577,1.0,5.501549884846902,1.0492539508631302,0.2207741564718472
175,29.42601259031173,14.303919424738213,1.0753993932013577,1.0,5.501549884846902,1.0492539508631302,0.2207741564718472
176,29.42601301424832,14.303917869549698,1.0753994081025189,1.0,5.501549884846902,1.0492539508631302,0.2207741564718472
177,29.426012859300975,14.303918505470012,1.0753993932013577,0.9999999850988388,5.501549884846902,1.0492539508631302,0.2207741564718472
178,29.426012652538773,14.303919192627065,1.0753993932013577,1.0,5.501549899748063,1.0492539508631302,0.2207741564718472
179,29.42601238320872,14.303920233781364,1.0753993932013577,1.0,5.501549884846902,1.0492539657642914,0.2207741564718472
180,29.426011995636735,14.30392182557554,1.0753993932013577,1.0,5.501549884846902,1.0492539508631302,0.2207741713730084
181,29.42601259031173,14.303919424738213,1.0753993932013577,1.0,5.501549884846902,1.0492539508631302,0.2207741564718472
182,29.42601301424832,14.303917869549698,1.0753994081025189,1.0,5.501549884846902,1.0492539508631302,0.2207741564718472
183,29.426012859300975,14.303918505470012,1.0753993932013577,0.9999999850988388,5.501549884846902,1.0492539508631302,0.2207741564718472
184,29.426012652538773,14.303919192627065,1.0753993932013577,1.0,5.501549899748063,1.0492539508631302,0.2207741564718472
185,29.42601238320872,14.303920233781364,1.0753993932013577,1.0,5.501549884846902,1.0492539657642914,0.2207741564718472
186,29.426011995636735,14.30392182557554,1.0753993932013577,1.0,5.501549884846902,1.0492539508631302,0.2207741713730084
187,29.742374586449895,13.421001347894771,1.087640261840893,1.0,5.453823343954756,1.0378144846727189,0.2223848454476027
188,29.742374586449895,13.421001347894771,1.087640261840893,1.0,5.453823343954756,1.0378144846727189,0.2223848454476027
