#: table_doi: 10.17182/hepdata.91996.v2/t2
#: name: Table 2
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.575,0.55,0.6,1.080e+01,5.471e-03,-5.471e-03,5.526e-01,-5.526e-01,3.653e-01,-3.653e-01
0.625,0.6,0.65,9.630e+00,5.284e-03,-5.284e-03,4.920e-01,-4.920e-01,3.264e-01,-3.264e-01
0.675,0.65,0.7,8.617e+00,5.129e-03,-5.129e-03,4.254e-01,-4.254e-01,2.935e-01,-2.935e-01
0.725,0.7,0.75,7.719e+00,4.938e-03,-4.938e-03,3.667e-01,-3.667e-01,2.640e-01,-2.640e-01
0.775,0.75,0.8,6.914e+00,4.748e-03,-4.748e-03,3.210e-01,-3.210e-01,2.374e-01,-2.374e-01
0.825,0.8,0.85,6.216e+00,4.570e-03,-4.570e-03,2.875e-01,-2.875e-01,2.153e-01,-2.153e-01
0.875,0.85,0.9,5.595e+00,4.395e-03,-4.395e-03,2.557e-01,-2.557e-01,1.949e-01,-1.949e-01
0.925,0.9,0.95,5.054e+00,4.229e-03,-4.229e-03,2.295e-01,-2.295e-01,1.777e-01,-1.777e-01
0.975,0.95,1.0,4.552e+00,4.024e-03,-4.024e-03,2.162e-01,-2.162e-01,1.607e-01,-1.607e-01
1.05,1.0,1.1,3.920e+00,2.623e-03,-2.623e-03,2.216e-01,-2.216e-01,1.742e-01,-1.742e-01
1.15,1.1,1.2,3.208e+00,2.349e-03,-2.349e-03,1.858e-01,-1.858e-01,1.443e-01,-1.443e-01
1.25,1.2,1.3,2.619e+00,2.097e-03,-2.097e-03,1.508e-01,-1.508e-01,1.204e-01,-1.204e-01
1.35,1.3,1.4,2.196e+00,1.923e-03,-1.923e-03,1.262e-01,-1.262e-01,1.009e-01,-1.009e-01
1.45,1.4,1.5,1.789e+00,1.715e-03,-1.715e-03,1.076e-01,-1.076e-01,8.689e-02,-8.689e-02
1.55,1.5,1.6,1.505e+00,1.576e-03,-1.576e-03,8.939e-02,-8.939e-02,7.220e-02,-7.220e-02
1.65,1.6,1.7,1.239e+00,1.416e-03,-1.416e-03,7.609e-02,-7.609e-02,6.256e-02,-6.256e-02
1.75,1.7,1.8,1.046e+00,1.303e-03,-1.303e-03,6.428e-02,-6.428e-02,5.221e-02,-5.221e-02
1.85,1.8,1.9,8.702e-01,1.179e-03,-1.179e-03,5.686e-02,-5.686e-02,4.733e-02,-4.733e-02
1.95,1.9,2.0,7.327e-01,1.082e-03,-1.082e-03,4.762e-02,-4.762e-02,3.962e-02,-3.962e-02
2.1,2.0,2.2,5.646e-01,6.670e-04,-6.670e-04,3.647e-02,-3.647e-02,3.050e-02,-3.050e-02
2.3,2.2,2.4,4.060e-01,5.631e-04,-5.631e-04,2.642e-02,-2.642e-02,2.194e-02,-2.194e-02
2.5,2.4,2.6,2.955e-01,4.785e-04,-4.785e-04,1.919e-02,-1.919e-02,1.596e-02,-1.596e-02
2.7,2.6,2.8,2.159e-01,4.070e-04,-4.070e-04,1.417e-02,-1.417e-02,1.167e-02,-1.167e-02
2.9,2.8,3.0,1.595e-01,3.482e-04,-3.482e-04,1.046e-02,-1.046e-02,8.615e-03,-8.615e-03
3.1,3.0,3.2,1.201e-01,3.015e-04,-3.015e-04,7.881e-03,-7.881e-03,6.483e-03,-6.483e-03
3.3,3.2,3.4,8.971e-02,2.585e-04,-2.585e-04,5.903e-03,-5.903e-03,4.852e-03,-4.852e-03
3.5,3.4,3.6,6.911e-02,2.273e-04,-2.273e-04,4.542e-03,-4.542e-03,3.734e-03,-3.734e-03
3.7,3.6,3.8,5.293e-02,1.971e-04,-1.971e-04,3.438e-03,-3.438e-03,2.870e-03,-2.870e-03
3.9,3.8,4.0,4.125e-02,1.737e-04,-1.737e-04,2.685e-03,-2.685e-03,2.230e-03,-2.230e-03
4.25,4.0,4.5,2.751e-02,8.912e-05,-8.912e-05,1.786e-03,-1.786e-03,1.486e-03,-1.486e-03
4.75,4.5,5.0,1.606e-02,6.789e-05,-6.789e-05,1.047e-03,-1.047e-03,8.710e-04,-8.710e-04
5.25,5.0,5.5,9.633e-03,5.205e-05,-5.205e-05,6.241e-04,-6.241e-04,5.205e-04,-5.205e-04
5.75,5.5,6.0,6.067e-03,4.130e-05,-4.130e-05,3.949e-04,-3.949e-04,3.293e-04,-3.293e-04
6.25,6.0,6.5,3.830e-03,3.226e-05,-3.226e-05,2.474e-04,-2.474e-04,2.076e-04,-2.076e-04
6.75,6.5,7.0,2.628e-03,2.672e-05,-2.672e-05,1.704e-04,-1.704e-04,1.434e-04,-1.434e-04
7.5,7.0,8.0,1.553e-03,1.452e-05,-1.452e-05,1.005e-04,-1.005e-04,8.451e-05,-8.451e-05
9.0,8.0,10.0,6.367e-04,6.527e-06,-6.527e-06,4.210e-05,-4.210e-05,3.515e-05,-3.515e-05
