#: table_doi: 10.17182/hepdata.91996.v2/t3
#: name: Table 3
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VII')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.312e+01,1.043e-02,-1.043e-02,3.833e-01,-3.833e-01,2.623e-01,-2.623e-01
0.225,0.2,0.25,1.308e+01,7.411e-03,-7.411e-03,3.128e-01,-3.128e-01,2.615e-01,-2.615e-01
0.275,0.25,0.3,1.237e+01,6.983e-03,-6.983e-03,2.982e-01,-2.982e-01,2.474e-01,-2.474e-01
0.32499999999999996,0.3,0.35,1.135e+01,6.585e-03,-6.585e-03,3.222e-01,-3.222e-01,2.270e-01,-2.270e-01
0.375,0.35,0.4,1.022e+01,6.161e-03,-6.161e-03,3.092e-01,-3.092e-01,2.043e-01,-2.043e-01
0.42500000000000004,0.4,0.45,9.121e+00,5.784e-03,-5.784e-03,3.020e-01,-3.020e-01,1.824e-01,-1.824e-01
0.475,0.45,0.5,8.084e+00,5.537e-03,-5.537e-03,2.793e-01,-2.793e-01,1.617e-01,-1.617e-01
0.525,0.5,0.55,7.148e+00,5.358e-03,-5.358e-03,2.599e-01,-2.599e-01,1.430e-01,-1.430e-01
0.575,0.55,0.6,6.323e+00,5.140e-03,-5.140e-03,2.409e-01,-2.409e-01,1.265e-01,-1.265e-01
