#: table_doi: 10.17182/hepdata.91996.v2/t1
#: name: Table 1
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.925,0.9,0.95,2.995e+00,2.563e-03,-2.563e-03,1.375e-01,-1.375e-01,1.057e-01,-1.057e-01
0.975,0.95,1.0,2.681e+00,2.430e-03,-2.430e-03,1.288e-01,-1.288e-01,9.533e-02,-9.533e-02
1.05,1.0,1.1,2.279e+00,1.573e-03,-1.573e-03,1.302e-01,-1.302e-01,1.016e-01,-1.016e-01
1.15,1.1,1.2,1.846e+00,1.398e-03,-1.398e-03,1.071e-01,-1.071e-01,8.329e-02,-8.329e-02
1.25,1.2,1.3,1.482e+00,1.234e-03,-1.234e-03,8.534e-02,-8.534e-02,6.831e-02,-6.831e-02
1.35,1.3,1.4,1.236e+00,1.132e-03,-1.132e-03,7.119e-02,-7.119e-02,5.699e-02,-5.699e-02
1.45,1.4,1.5,9.890e-01,9.951e-04,-9.951e-04,5.824e-02,-5.824e-02,4.724e-02,-4.724e-02
1.55,1.5,1.6,8.295e-01,9.148e-04,-9.148e-04,4.885e-02,-4.885e-02,3.963e-02,-3.963e-02
1.65,1.6,1.7,6.746e-01,8.146e-04,-8.146e-04,4.093e-02,-4.093e-02,3.367e-02,-3.367e-02
1.75,1.7,1.8,5.661e-01,7.484e-04,-7.484e-04,3.435e-02,-3.435e-02,2.825e-02,-2.825e-02
1.85,1.8,1.9,4.658e-01,6.719e-04,-6.719e-04,3.003e-02,-3.003e-02,2.521e-02,-2.521e-02
1.95,1.9,2.0,3.927e-01,6.181e-04,-6.181e-04,2.532e-02,-2.532e-02,2.126e-02,-2.126e-02
2.1,2.0,2.2,3.013e-01,3.800e-04,-3.800e-04,1.920e-02,-1.920e-02,1.632e-02,-1.632e-02
2.3,2.2,2.4,2.152e-01,3.196e-04,-3.196e-04,1.387e-02,-1.387e-02,1.165e-02,-1.165e-02
2.5,2.4,2.6,1.554e-01,2.707e-04,-2.707e-04,9.981e-03,-9.981e-03,8.416e-03,-8.416e-03
2.7,2.6,2.8,1.138e-01,2.303e-04,-2.303e-04,7.361e-03,-7.361e-03,6.161e-03,-6.161e-03
2.9,2.8,3.0,8.442e-02,1.977e-04,-1.977e-04,5.448e-03,-5.448e-03,4.571e-03,-4.571e-03
3.1,3.0,3.2,6.309e-02,1.703e-04,-1.703e-04,4.084e-03,-4.084e-03,3.415e-03,-3.415e-03
3.3,3.2,3.4,4.760e-02,1.469e-04,-1.469e-04,3.082e-03,-3.082e-03,2.576e-03,-2.576e-03
3.5,3.4,3.6,3.693e-02,1.297e-04,-1.297e-04,2.392e-03,-2.392e-03,1.999e-03,-1.999e-03
3.7,3.6,3.8,2.805e-02,1.119e-04,-1.119e-04,1.809e-03,-1.809e-03,1.519e-03,-1.519e-03
3.9,3.8,4.0,2.212e-02,9.930e-05,-9.930e-05,1.427e-03,-1.427e-03,1.198e-03,-1.198e-03
4.25,4.0,4.5,1.480e-02,5.099e-05,-5.099e-05,9.511e-04,-9.511e-04,8.011e-04,-8.011e-04
4.75,4.5,5.0,8.622e-03,3.882e-05,-3.882e-05,5.540e-04,-5.540e-04,4.666e-04,-4.666e-04
5.25,5.0,5.5,5.165e-03,2.964e-05,-2.964e-05,3.302e-04,-3.302e-04,2.796e-04,-2.796e-04
5.75,5.5,6.0,3.339e-03,2.383e-05,-2.383e-05,2.135e-04,-2.135e-04,1.807e-04,-1.807e-04
6.25,6.0,6.5,2.087e-03,1.847e-05,-1.847e-05,1.323e-04,-1.323e-04,1.130e-04,-1.130e-04
6.75,6.5,7.0,1.442e-03,1.535e-05,-1.535e-05,9.141e-05,-9.141e-05,7.806e-05,-7.806e-05
7.5,7.0,8.0,8.555e-04,8.360e-06,-8.360e-06,5.422e-05,-5.422e-05,4.630e-05,-4.630e-05
9.0,8.0,10.0,3.446e-04,3.711e-06,-3.711e-06,2.192e-05,-2.192e-05,1.879e-05,-1.879e-05
11.5,10.0,13.0,9.589e-05,1.581e-06,-1.581e-06,6.069e-06,-6.069e-06,5.203e-06,-5.203e-06
16.5,13.0,20.0,1.731e-05,4.389e-07,-4.389e-07,1.140e-06,-1.140e-06,9.468e-07,-9.468e-07

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VIII')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,2.153e+01,1.248e-02,-1.248e-02,9.499e-01,-9.499e-01,7.119e-01,-7.119e-01
0.225,0.2,0.25,2.122e+01,8.812e-03,-8.812e-03,8.693e-01,-8.693e-01,7.023e-01,-7.023e-01
0.275,0.25,0.3,1.999e+01,8.288e-03,-8.288e-03,8.198e-01,-8.198e-01,6.627e-01,-6.627e-01
0.32499999999999996,0.3,0.35,1.838e+01,7.824e-03,-7.824e-03,8.029e-01,-8.029e-01,6.103e-01,-6.103e-01
0.375,0.35,0.4,1.662e+01,7.336e-03,-7.336e-03,7.505e-01,-7.505e-01,5.529e-01,-5.529e-01
0.42500000000000004,0.4,0.45,1.492e+01,6.907e-03,-6.907e-03,7.002e-01,-7.002e-01,4.977e-01,-4.977e-01
0.475,0.45,0.5,1.335e+01,6.643e-03,-6.643e-03,6.401e-01,-6.401e-01,4.466e-01,-4.466e-01
0.525,0.5,0.55,1.191e+01,6.457e-03,-6.457e-03,5.893e-01,-5.893e-01,3.995e-01,-3.995e-01
0.575,0.55,0.6,1.066e+01,6.231e-03,-6.231e-03,5.399e-01,-5.399e-01,3.590e-01,-3.590e-01
0.625,0.6,0.65,9.533e+00,6.016e-03,-6.016e-03,4.846e-01,-4.846e-01,3.223e-01,-3.223e-01
0.675,0.65,0.7,8.564e+00,5.840e-03,-5.840e-03,4.210e-01,-4.210e-01,2.908e-01,-2.908e-01
0.725,0.7,0.75,7.703e+00,5.629e-03,-5.629e-03,3.668e-01,-3.668e-01,2.629e-01,-2.629e-01
0.775,0.75,0.8,6.934e+00,5.421e-03,-5.421e-03,3.248e-01,-3.248e-01,2.379e-01,-2.379e-01
0.825,0.8,0.85,6.256e+00,5.223e-03,-5.223e-03,2.899e-01,-2.899e-01,2.159e-01,-2.159e-01
0.875,0.85,0.9,5.658e+00,5.036e-03,-5.036e-03,2.608e-01,-2.608e-01,1.965e-01,-1.965e-01
0.925,0.9,0.95,5.101e+00,4.836e-03,-4.836e-03,2.328e-01,-2.328e-01,1.784e-01,-1.784e-01
0.975,0.95,1.0,4.610e+00,4.605e-03,-4.605e-03,2.206e-01,-2.206e-01,1.624e-01,-1.624e-01
1.05,1.0,1.1,3.984e+00,3.006e-03,-3.006e-03,2.265e-01,-2.265e-01,1.767e-01,-1.767e-01
1.15,1.1,1.2,3.292e+00,2.700e-03,-2.700e-03,1.905e-01,-1.905e-01,1.478e-01,-1.478e-01
1.25,1.2,1.3,2.694e+00,2.406e-03,-2.406e-03,1.544e-01,-1.544e-01,1.236e-01,-1.236e-01
1.35,1.3,1.4,2.286e+00,2.225e-03,-2.225e-03,1.310e-01,-1.310e-01,1.048e-01,-1.048e-01
1.45,1.4,1.5,1.861e+00,1.974e-03,-1.974e-03,1.093e-01,-1.093e-01,8.847e-02,-8.847e-02
1.55,1.5,1.6,1.584e+00,1.828e-03,-1.828e-03,9.297e-02,-9.297e-02,7.529e-02,-7.529e-02
1.65,1.6,1.7,1.304e+00,1.638e-03,-1.638e-03,7.874e-02,-7.874e-02,6.480e-02,-6.480e-02
1.75,1.7,1.8,1.113e+00,1.517e-03,-1.517e-03,6.719e-02,-6.719e-02,5.530e-02,-5.530e-02
1.85,1.8,1.9,9.261e-01,1.370e-03,-1.370e-03,5.950e-02,-5.950e-02,4.996e-02,-4.996e-02
1.95,1.9,2.0,7.902e-01,1.268e-03,-1.268e-03,5.076e-02,-5.076e-02,4.263e-02,-4.263e-02
2.1,2.0,2.2,6.139e-01,7.844e-04,-7.844e-04,3.911e-02,-3.911e-02,3.311e-02,-3.311e-02
2.3,2.2,2.4,4.477e-01,6.668e-04,-6.668e-04,2.877e-02,-2.877e-02,2.415e-02,-2.415e-02
2.5,2.4,2.6,3.283e-01,5.690e-04,-5.690e-04,2.106e-02,-2.106e-02,1.771e-02,-1.771e-02
2.7,2.6,2.8,2.425e-01,4.862e-04,-4.862e-04,1.566e-02,-1.566e-02,1.308e-02,-1.308e-02
2.9,2.8,3.0,1.831e-01,4.212e-04,-4.212e-04,1.179e-02,-1.179e-02,9.880e-03,-9.880e-03
