#: table_doi: 10.17182/hepdata.91996.v2/t4
#: name: Table 4
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
9.0,8.0,10.0,1.138e-04,2.098e-06,-2.098e-06,7.865e-06,-7.865e-06,6.342e-06,-6.342e-06
11.5,10.0,13.0,3.192e-05,8.973e-07,-8.973e-07,1.973e-06,-1.973e-06,1.510e-06,-1.510e-06
16.5,13.0,20.0,5.533e-06,2.441e-07,-2.441e-07,3.891e-07,-3.891e-07,2.725e-07,-2.725e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VII)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.057e+01,5.762e-03,-5.762e-03,3.647e-01,-3.647e-01,2.303e-01,-2.303e-01
0.225,0.2,0.25,1.067e+01,4.164e-03,-4.164e-03,3.317e-01,-3.317e-01,2.332e-01,-2.332e-01
0.275,0.25,0.3,1.002e+01,3.928e-03,-3.928e-03,3.137e-01,-3.137e-01,2.189e-01,-2.189e-01
0.32499999999999996,0.3,0.35,9.187e+00,3.708e-03,-3.708e-03,3.144e-01,-3.144e-01,2.018e-01,-2.018e-01
0.375,0.35,0.4,8.240e+00,3.466e-03,-3.466e-03,2.944e-01,-2.944e-01,1.815e-01,-1.815e-01
0.42500000000000004,0.4,0.45,7.302e+00,3.244e-03,-3.244e-03,2.750e-01,-2.750e-01,1.618e-01,-1.618e-01
0.475,0.45,0.5,6.421e+00,3.093e-03,-3.093e-03,2.492e-01,-2.492e-01,1.433e-01,-1.433e-01
0.525,0.5,0.55,5.645e+00,2.987e-03,-2.987e-03,2.284e-01,-2.284e-01,1.268e-01,-1.268e-01
